route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000050,OCESN3625F2298184:2023-08-29T11:49:37Z,3625,1,117,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000082,OCESN3625F2414189:2023-08-29T11:49:37Z,3625,1,118,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000083,OCESN3625F2444766:2023-08-29T11:49:37Z,3625,1,119,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000084,OCESN3625F2465496:2023-08-29T11:49:37Z,3625,1,120,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000085,OCESN3625F2465497:2023-08-29T11:49:37Z,3625,1,121,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000086,OCESN3625F2465498:2023-08-29T11:49:37Z,3625,1,122,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000087,OCESN3625F2465499:2023-08-29T11:49:37Z,3625,1,123,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000088,OCESN3625F2465500:2023-08-29T11:49:37Z,3625,1,124,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000010,OCESN3625F2465501:2023-08-29T11:49:37Z,3625,1,125,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000089,OCESN3625F2465645:2023-08-29T11:49:37Z,3625,1,126,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000090,OCESN3625F2542088:2023-09-30T00:27:01Z,3625,1,127,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000091,OCESN3625F2544208:2023-09-22T00:44:45Z,3625,1,128,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000092,OCESN3625F2544209:2023-09-23T00:33:29Z,3625,1,129,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000093,OCESN3625F2544211:2023-09-22T00:44:45Z,3625,1,130,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000043,OCESN3625F2544253:2023-10-10T00:42:10Z,3625,1,131,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000027,OCESN3628F1794390:2023-09-12T00:35:02Z,3628,0,132,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000056,OCESN3628F2376306:2023-08-29T11:49:37Z,3628,0,133,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000094,OCESN3628F2509193:2023-08-29T11:49:37Z,3628,0,134,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000032,OCESN3628F2646959:2023-09-30T00:27:01Z,3628,0,135,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000095,OCESN3629F1923630:2023-08-29T11:49:37Z,3629,1,136,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000096,OCESN3629F2444767:2023-09-12T00:35:02Z,3629,1,137,
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,000032,OCESN3629F2544220:2023-09-20T00:32:39Z,3629,1,138,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000076,OCESN3634F1845616:2023-09-11T00:36:42Z,3634,0,139,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000097,OCESN3634F1930650:2023-10-07T00:44:23Z,3634,0,140,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000083,OCESN3634F2274988:2023-08-29T11:49:37Z,3634,0,141,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000098,OCESN3634F2338737:2023-08-29T11:49:37Z,3634,0,142,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000099,OCESN3634F2342339:2023-09-02T00:39:40Z,3634,0,143,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000100,OCESN3634F2509295:2023-08-29T11:49:37Z,3634,0,144,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000101,OCESN3634F2543792:2023-09-21T00:32:48Z,3634,0,145,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000043,OCESN3634F2543824:2023-09-06T00:34:27Z,3634,0,146,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000033,OCESN3634F2544226:2023-09-21T00:32:48Z,3634,0,147,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000102,OCESN3634F2544227:2023-09-21T00:32:48Z,3634,0,148,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000103,OCESN3635F1939378:2023-09-02T00:39:40Z,3635,1,149,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000104,OCESN3635F2147351:2023-09-23T00:33:29Z,3635,1,150,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000105,OCESN3635F2346749:2023-08-30T00:33:31Z,3635,1,151,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000106,OCESN3635F2440423:2023-09-07T00:36:44Z,3635,1,152,
FR:Line::8c3b6920-35c9-4b67-b79d-434a4226e338:,000107,OCESN3635F2443947:2023-08-29T11:49:37Z,3635,1,153,
